domain	taxonomy_group	checku_bin	n_samples	median_residual_pct	mean_residual_pct
Archaea	Halobacteriota	[15,20)	41	27.01	26.35
Archaea	Halobacteriota	[20,25)	48	25.80	25.74
Archaea	Halobacteriota	[25,30)	68	23.17	25.15
Archaea	Halobacteriota	[30,35)	102	19.09	21.20
Archaea	Halobacteriota	[35,40)	102	22.09	21.99
Archaea	Halobacteriota	[40,45)	103	18.19	19.41
Archaea	Halobacteriota	[45,50)	53	11.65	13.74
Archaea	Halobacteriota	[50,55)	107	8.23	8.74
Archaea	Halobacteriota	[55,60)	128	2.61	3.73
Archaea	Halobacteriota	[60,65)	123	-2.52	-0.70
Archaea	Halobacteriota	[65,70)	157	0.22	-0.16
Archaea	Halobacteriota	[70,75)	119	-1.86	-1.52
Archaea	Halobacteriota	[75,80)	161	1.43	0.34
Archaea	Halobacteriota	[80,85)	125	4.03	1.01
Archaea	Halobacteriota	[85,90)	45	1.15	-0.16
Archaea	Methanobacteriota	[30,35)	20	23.68	26.34
Archaea	Methanobacteriota	[35,40)	23	13.83	16.39
Archaea	Methanobacteriota	[40,45)	20	15.47	16.54
Archaea	Methanobacteriota	[50,55)	24	5.91	7.61
Archaea	Methanobacteriota	[55,60)	28	-0.03	1.77
Archaea	Methanobacteriota	[60,65)	36	-1.38	-0.78
Archaea	Methanobacteriota	[65,70)	36	-0.92	-2.71
Archaea	Methanobacteriota	[70,75)	23	-5.48	-5.04
Archaea	Methanobacteriota	[75,80)	39	-4.84	-4.13
Archaea	Methanobacteriota	[80,85)	39	-0.46	-0.26
Archaea	Methanobacteriota	[85,90)	21	2.29	0.08
Archaea	Methanobacteriota_A	[50,55)	22	7.96	8.55
Archaea	Methanobacteriota_A	[80,85)	25	4.59	1.20
Archaea	Methanobacteriota_B	[75,80)	23	-4.17	-2.00
Archaea	Other	[15,20)	31	24.68	22.36
Archaea	Other	[20,25)	36	26.22	22.62
Archaea	Other	[25,30)	61	23.19	25.06
Archaea	Other	[30,35)	47	19.54	23.95
Archaea	Other	[35,40)	64	20.39	19.12
Archaea	Other	[40,45)	63	12.87	14.25
Archaea	Other	[45,50)	49	15.41	14.55
Archaea	Other	[50,55)	79	8.98	10.98
Archaea	Other	[55,60)	89	2.91	3.87
Archaea	Other	[60,65)	101	4.21	3.98
Archaea	Other	[65,70)	88	0.91	0.92
Archaea	Other	[70,75)	63	-1.70	-1.41
Archaea	Other	[75,80)	119	1.36	-0.31
Archaea	Other	[80,85)	102	2.29	1.16
Archaea	Other	[85,90)	29	2.84	0.66
Archaea	Thermoplasmatota	[55,60)	27	0.84	0.51
Archaea	Thermoplasmatota	[60,65)	22	6.74	5.93
Archaea	Thermoplasmatota	[65,70)	20	0.52	0.58
Archaea	Thermoplasmatota	[70,75)	20	2.62	0.94
Archaea	Thermoplasmatota	[75,80)	37	3.50	3.21
Archaea	Thermoproteota	[20,25)	24	26.94	29.28
Archaea	Thermoproteota	[25,30)	35	24.83	27.78
Archaea	Thermoproteota	[30,35)	42	19.51	21.90
Archaea	Thermoproteota	[35,40)	46	14.40	16.54
Archaea	Thermoproteota	[40,45)	61	8.17	12.94
Archaea	Thermoproteota	[45,50)	73	11.67	12.09
Archaea	Thermoproteota	[50,55)	63	9.92	12.40
Archaea	Thermoproteota	[55,60)	80	4.09	6.12
Archaea	Thermoproteota	[60,65)	86	6.83	7.50
Archaea	Thermoproteota	[65,70)	93	3.51	3.59
Archaea	Thermoproteota	[70,75)	59	6.56	4.71
Archaea	Thermoproteota	[75,80)	104	3.98	4.41
Archaea	Thermoproteota	[80,85)	83	6.18	3.81
Archaea	all_taxa	[0,5)	22	8.65	12.50
Archaea	all_taxa	[10,15)	41	22.16	23.46
Archaea	all_taxa	[15,20)	88	26.91	25.63
Archaea	all_taxa	[20,25)	108	26.31	25.49
